hs6,chapter,heading,description
611790,61,6117,"other made up clothing accessories, knitted or crocheted; knitted or crocheted parts of garments or of clothing accessories. - parts"
620120,62,6201,"mens or boys overcoats, car-coats, capes, cloaks, anoraks (including ski-jackets), wind-cheaters, wind-jackets and similar articles, other than those of heading 62.03. - of wool or fine animal hair"
620130,62,6201,"mens or boys overcoats, car-coats, capes, cloaks, anoraks (including ski-jackets), wind-cheaters, wind-jackets and similar articles, other than those of heading 62.03. - of cotton"
620140,62,6201,"mens or boys overcoats, car-coats, capes, cloaks, anoraks (including ski-jackets), wind-cheaters, wind-jackets and similar articles, other than those of heading 62.03. - of man-made fibres"
620190,62,6201,"mens or boys overcoats, car-coats, capes, cloaks, anoraks (including ski-jackets), wind-cheaters, wind-jackets and similar articles, other than those of heading 62.03. - of other textile materials"
620220,62,6202,"womens or girls overcoats, car-coats, capes, cloaks, anoraks (including ski-jackets), wind-cheaters, wind-jackets and similar articles, other than those of heading 62.04. - of wool or fine animal hair"
620230,62,6202,"womens or girls overcoats, car-coats, capes, cloaks, anoraks (including ski-jackets), wind-cheaters, wind-jackets and similar articles, other than those of heading 62.04. - of cotton"
620240,62,6202,"womens or girls overcoats, car-coats, capes, cloaks, anoraks (including ski-jackets), wind-cheaters, wind-jackets and similar articles, other than those of heading 62.04. - of man-made fibres"
620290,62,6202,"womens or girls overcoats, car-coats, capes, cloaks, anoraks (including ski-jackets), wind-cheaters, wind-jackets and similar articles, other than those of heading 62.04. - of other textile materials"
620311,62,6203,"mens or boys suits, ensembles, jackets, blazers, trousers, bib and brace overalls, breeches and shorts (other than swimwear). - suits : -- of wool or fine animal hair"
620312,62,6203,"mens or boys suits, ensembles, jackets, blazers, trousers, bib and brace overalls, breeches and shorts (other than swimwear). - suits : -- of synthetic fibres"
620319,62,6203,"mens or boys suits, ensembles, jackets, blazers, trousers, bib and brace overalls, breeches and shorts (other than swimwear). - suits : -- of other textile materials"
620322,62,6203,"mens or boys suits, ensembles, jackets, blazers, trousers, bib and brace overalls, breeches and shorts (other than swimwear). - ensembles : -- of cotton"
620323,62,6203,"mens or boys suits, ensembles, jackets, blazers, trousers, bib and brace overalls, breeches and shorts (other than swimwear). - ensembles : -- of synthetic fibres"
620329,62,6203,"mens or boys suits, ensembles, jackets, blazers, trousers, bib and brace overalls, breeches and shorts (other than swimwear). - ensembles : -- of other textile materials"
620331,62,6203,"mens or boys suits, ensembles, jackets, blazers, trousers, bib and brace overalls, breeches and shorts (other than swimwear). - jackets and blazers : -- of wool or fine animal hair"
620332,62,6203,"mens or boys suits, ensembles, jackets, blazers, trousers, bib and brace overalls, breeches and shorts (other than swimwear). - jackets and blazers : -- of cotton"
620333,62,6203,"mens or boys suits, ensembles, jackets, blazers, trousers, bib and brace overalls, breeches and shorts (other than swimwear). - jackets and blazers : -- of synthetic fibres"
620339,62,6203,"mens or boys suits, ensembles, jackets, blazers, trousers, bib and brace overalls, breeches and shorts (other than swimwear). - jackets and blazers : -- of other textile materials"
620341,62,6203,"mens or boys suits, ensembles, jackets, blazers, trousers, bib and brace overalls, breeches and shorts (other than swimwear). - trousers, bib and brace overalls, breeches and shorts : -- of wool or fine animal hair"
620342,62,6203,"mens or boys suits, ensembles, jackets, blazers, trousers, bib and brace overalls, breeches and shorts (other than swimwear). - trousers, bib and brace overalls, breeches and shorts : -- of cotton"
620343,62,6203,"mens or boys suits, ensembles, jackets, blazers, trousers, bib and brace overalls, breeches and shorts (other than swimwear). - trousers, bib and brace overalls, breeches and shorts : -- of synthetic fibres"
620349,62,6203,"mens or boys suits, ensembles, jackets, blazers, trousers, bib and brace overalls, breeches and shorts (other than swimwear). - trousers, bib and brace overalls, breeches and shorts : -- of other textile materials"
620411,62,6204,"womens or girls suits, ensembles, jackets, blazers, dresses, skirts, divided skirts, trousers, bib and brace overalls, breeches and shorts (other than swimwear). - suits : -- of wool or fine animal hair"
620412,62,6204,"womens or girls suits, ensembles, jackets, blazers, dresses, skirts, divided skirts, trousers, bib and brace overalls, breeches and shorts (other than swimwear). - suits : -- of cotton"
620413,62,6204,"womens or girls suits, ensembles, jackets, blazers, dresses, skirts, divided skirts, trousers, bib and brace overalls, breeches and shorts (other than swimwear). - suits : -- of synthetic fibres"
620419,62,6204,"womens or girls suits, ensembles, jackets, blazers, dresses, skirts, divided skirts, trousers, bib and brace overalls, breeches and shorts (other than swimwear). - suits : -- of other textile materials"
620421,62,6204,"womens or girls suits, ensembles, jackets, blazers, dresses, skirts, divided skirts, trousers, bib and brace overalls, breeches and shorts (other than swimwear). - ensembles : -- of wool or fine animal hair"
620422,62,6204,"womens or girls suits, ensembles, jackets, blazers, dresses, skirts, divided skirts, trousers, bib and brace overalls, breeches and shorts (other than swimwear). - ensembles : -- of cotton"
620423,62,6204,"womens or girls suits, ensembles, jackets, blazers, dresses, skirts, divided skirts, trousers, bib and brace overalls, breeches and shorts (other than swimwear). - ensembles : -- of synthetic fibres"
620429,62,6204,"womens or girls suits, ensembles, jackets, blazers, dresses, skirts, divided skirts, trousers, bib and brace overalls, breeches and shorts (other than swimwear). - ensembles : -- of other textile materials"
620431,62,6204,"womens or girls suits, ensembles, jackets, blazers, dresses, skirts, divided skirts, trousers, bib and brace overalls, breeches and shorts (other than swimwear). - jackets and blazers : -- of wool or fine animal hair"
620432,62,6204,"womens or girls suits, ensembles, jackets, blazers, dresses, skirts, divided skirts, trousers, bib and brace overalls, breeches and shorts (other than swimwear). - jackets and blazers : -- of cotton"
620433,62,6204,"womens or girls suits, ensembles, jackets, blazers, dresses, skirts, divided skirts, trousers, bib and brace overalls, breeches and shorts (other than swimwear). - jackets and blazers : -- of synthetic fibres"
620439,62,6204,"womens or girls suits, ensembles, jackets, blazers, dresses, skirts, divided skirts, trousers, bib and brace overalls, breeches and shorts (other than swimwear). - jackets and blazers : -- of other textile materials"
620441,62,6204,"womens or girls suits, ensembles, jackets, blazers, dresses, skirts, divided skirts, trousers, bib and brace overalls, breeches and shorts (other than swimwear). - dresses : -- of wool or fine animal hair"
620442,62,6204,"womens or girls suits, ensembles, jackets, blazers, dresses, skirts, divided skirts, trousers, bib and brace overalls, breeches and shorts (other than swimwear). - dresses : -- of cotton"
620443,62,6204,"womens or girls suits, ensembles, jackets, blazers, dresses, skirts, divided skirts, trousers, bib and brace overalls, breeches and shorts (other than swimwear). - dresses : -- of synthetic fibres"
620444,62,6204,"womens or girls suits, ensembles, jackets, blazers, dresses, skirts, divided skirts, trousers, bib and brace overalls, breeches and shorts (other than swimwear). - dresses : -- of artificial fibres"
620449,62,6204,"womens or girls suits, ensembles, jackets, blazers, dresses, skirts, divided skirts, trousers, bib and brace overalls, breeches and shorts (other than swimwear). - dresses : -- of other textile materials"
620451,62,6204,"womens or girls suits, ensembles, jackets, blazers, dresses, skirts, divided skirts, trousers, bib and brace overalls, breeches and shorts (other than swimwear). - skirts and divided skirts : -- of wool or fine animal hair"
620452,62,6204,"womens or girls suits, ensembles, jackets, blazers, dresses, skirts, divided skirts, trousers, bib and brace overalls, breeches and shorts (other than swimwear). - skirts and divided skirts : -- of cotton"
620453,62,6204,"womens or girls suits, ensembles, jackets, blazers, dresses, skirts, divided skirts, trousers, bib and brace overalls, breeches and shorts (other than swimwear). - skirts and divided skirts : -- of synthetic fibres"
620459,62,6204,"womens or girls suits, ensembles, jackets, blazers, dresses, skirts, divided skirts, trousers, bib and brace overalls, breeches and shorts (other than swimwear). - skirts and divided skirts : -- of other textile materials"
620461,62,6204,"womens or girls suits, ensembles, jackets, blazers, dresses, skirts, divided skirts, trousers, bib and brace overalls, breeches and shorts (other than swimwear). - trousers, bib and brace overalls, breeches and shorts : -- of wool or fine animal hair"
620462,62,6204,"womens or girls suits, ensembles, jackets, blazers, dresses, skirts, divided skirts, trousers, bib and brace overalls, breeches and shorts (other than swimwear). - trousers, bib and brace overalls, breeches and shorts : -- of cotton"
620463,62,6204,"womens or girls suits, ensembles, jackets, blazers, dresses, skirts, divided skirts, trousers, bib and brace overalls, breeches and shorts (other than swimwear). - trousers, bib and brace overalls, breeches and shorts : -- of synthetic fibres"
620469,62,6204,"womens or girls suits, ensembles, jackets, blazers, dresses, skirts, divided skirts, trousers, bib and brace overalls, breeches and shorts (other than swimwear). - trousers, bib and brace overalls, breeches and shorts : -- of other textile materials"
620520,62,6205,mens or boys shirts. - of cotton
620530,62,6205,mens or boys shirts. - of man-made fibres
620590,62,6205,mens or boys shirts. - of other textile materials
620610,62,6206,"womens or girls blouses, shirts and shirt-blouses. - of silk or silk waste"
620620,62,6206,"womens or girls blouses, shirts and shirt-blouses. - of wool or fine animal hair"
620630,62,6206,"womens or girls blouses, shirts and shirt-blouses. - of cotton"
620640,62,6206,"womens or girls blouses, shirts and shirt-blouses. - of man-made fibres"
620690,62,6206,"womens or girls blouses, shirts and shirt-blouses. - of other textile materials"
620711,62,6207,"mens or boys singlets and other vests, underpants, briefs, nightshirts, pyjamas, bathrobes, dressing gowns and similar articles. - underpants and briefs : -- of cotton"
620719,62,6207,"mens or boys singlets and other vests, underpants, briefs, nightshirts, pyjamas, bathrobes, dressing gowns and similar articles. - underpants and briefs : -- of other textile materials"
620721,62,6207,"mens or boys singlets and other vests, underpants, briefs, nightshirts, pyjamas, bathrobes, dressing gowns and similar articles. - nightshirts and pyjamas : -- of cotton"
620722,62,6207,"mens or boys singlets and other vests, underpants, briefs, nightshirts, pyjamas, bathrobes, dressing gowns and similar articles. - nightshirts and pyjamas : -- of man-made fibres"
620729,62,6207,"mens or boys singlets and other vests, underpants, briefs, nightshirts, pyjamas, bathrobes, dressing gowns and similar articles. - nightshirts and pyjamas : -- of other textile materials"
620791,62,6207,"mens or boys singlets and other vests, underpants, briefs, nightshirts, pyjamas, bathrobes, dressing gowns and similar articles. - other : -- of cotton"
620799,62,6207,"mens or boys singlets and other vests, underpants, briefs, nightshirts, pyjamas, bathrobes, dressing gowns and similar articles. - other : -- of other textile materials"
620811,62,6208,"womens or girls singlets and other vests, slips, petticoats, briefs, panties, nightdresses, pyjamas, negligees, bathrobes, dressing gowns and similar articles. - slips and petticoats : -- of man-made fibres"
620819,62,6208,"womens or girls singlets and other vests, slips, petticoats, briefs, panties, nightdresses, pyjamas, negligees, bathrobes, dressing gowns and similar articles. - slips and petticoats : -- of other textile materials"
620821,62,6208,"womens or girls singlets and other vests, slips, petticoats, briefs, panties, nightdresses, pyjamas, negligees, bathrobes, dressing gowns and similar articles. - nightdresses and pyjamas : -- of cotton"
620822,62,6208,"womens or girls singlets and other vests, slips, petticoats, briefs, panties, nightdresses, pyjamas, negligees, bathrobes, dressing gowns and similar articles. - nightdresses and pyjamas : -- of man-made fibres"
620829,62,6208,"womens or girls singlets and other vests, slips, petticoats, briefs, panties, nightdresses, pyjamas, negligees, bathrobes, dressing gowns and similar articles. - nightdresses and pyjamas : -- of other textile materials"
620891,62,6208,"womens or girls singlets and other vests, slips, petticoats, briefs, panties, nightdresses, pyjamas, negligees, bathrobes, dressing gowns and similar articles. - other : -- of cotton"
620892,62,6208,"womens or girls singlets and other vests, slips, petticoats, briefs, panties, nightdresses, pyjamas, negligees, bathrobes, dressing gowns and similar articles. - other : -- of man-made fibres"
620899,62,6208,"womens or girls singlets and other vests, slips, petticoats, briefs, panties, nightdresses, pyjamas, negligees, bathrobes, dressing gowns and similar articles. - other : -- of other textile materials"
620920,62,6209,babies garments and clothing accessories. - of cotton
620930,62,6209,babies garments and clothing accessories. - of synthetic fibres
620990,62,6209,babies garments and clothing accessories. - of other textile materials
621010,62,6210,"garments, made up of fabrics of heading 56.02, 56.03, 59.03, 59.06 or 59.07. - of fabrics of heading 56.02 or 56.03"
621020,62,6210,"garments, made up of fabrics of heading 56.02, 56.03, 59.03, 59.06 or 59.07. - other garments, of the type described in heading 62.01"
621030,62,6210,"garments, made up of fabrics of heading 56.02, 56.03, 59.03, 59.06 or 59.07. - other garments, of the type described in heading 62.02"
621040,62,6210,"garments, made up of fabrics of heading 56.02, 56.03, 59.03, 59.06 or 59.07. - other mens or boys garments"
621050,62,6210,"garments, made up of fabrics of heading 56.02, 56.03, 59.03, 59.06 or 59.07. - other womens or girls garments"
621111,62,6211,"track suits, ski suits and swimwear; other garments. - swimwear : -- mens or boys"
621112,62,6211,"track suits, ski suits and swimwear; other garments. - swimwear : -- womens or girls"
621120,62,6211,"track suits, ski suits and swimwear; other garments. - ski suits"
621132,62,6211,"track suits, ski suits and swimwear; other garments. - other garments, mens or boys : -- of cotton"
621133,62,6211,"track suits, ski suits and swimwear; other garments. - other garments, mens or boys : -- of man-made fibres"
621139,62,6211,"track suits, ski suits and swimwear; other garments. - other garments, mens or boys : -- of other textile materials"
621142,62,6211,"track suits, ski suits and swimwear; other garments. - other garments, womens or girls : -- of cotton"
621143,62,6211,"track suits, ski suits and swimwear; other garments. - other garments, womens or girls : -- of man-made fibres"
621149,62,6211,"track suits, ski suits and swimwear; other garments. - other garments, womens or girls : -- of other textile materials"
621210,62,6212,"brassieres, girdles, corsets, braces, suspenders, garters and similar articles and parts thereof, whether or not knitted or crocheted. - brassieres"
621220,62,6212,"brassieres, girdles, corsets, braces, suspenders, garters and similar articles and parts thereof, whether or not knitted or crocheted. - girdles and panty-girdles"
621230,62,6212,"brassieres, girdles, corsets, braces, suspenders, garters and similar articles and parts thereof, whether or not knitted or crocheted. - corselettes"
621290,62,6212,"brassieres, girdles, corsets, braces, suspenders, garters and similar articles and parts thereof, whether or not knitted or crocheted. - other"
621320,62,6213,handkerchiefs. - of cotton
621390,62,6213,handkerchiefs. - of other textile materials
621410,62,6214,"shawls, scarves, mufflers, mantillas, veils and the like. - of silk or silk waste"
621420,62,6214,"shawls, scarves, mufflers, mantillas, veils and the like. - of wool or fine animal hair"
621430,62,6214,"shawls, scarves, mufflers, mantillas, veils and the like. - of synthetic fibres"
621440,62,6214,"shawls, scarves, mufflers, mantillas, veils and the like. - of artificial fibres"
621490,62,6214,"shawls, scarves, mufflers, mantillas, veils and the like. - of other textile materials"
621510,62,6215,"ties, bow ties and cravats. - of silk or silk waste"
621520,62,6215,"ties, bow ties and cravats. - of man-made fibres"
621590,62,6215,"ties, bow ties and cravats. - of other textile materials"
621600,62,6216,"gloves, mittens and mitts."
621710,62,6217,"other made up clothing accessories; parts of garments or of clothing accessories, other than those of heading 62.12. - accessories"
621790,62,6217,"other made up clothing accessories; parts of garments or of clothing accessories, other than those of heading 62.12. - parts"
640110,64,6401,"waterproof footwear with outer soles and uppers of rubber or of plastics, the uppers of which are neither fixed to the sole nor assembled by stitching, riveting, nailing, screwing, plugging or similar processes. - footwear incorporating a protective metal toe-cap"
640192,64,6401,"waterproof footwear with outer soles and uppers of rubber or of plastics, the uppers of which are neither fixed to the sole nor assembled by stitching, riveting, nailing, screwing, plugging or similar processes. - other footwear : -- covering the ankle but not covering the knee"
640199,64,6401,"waterproof footwear with outer soles and uppers of rubber or of plastics, the uppers of which are neither fixed to the sole nor assembled by stitching, riveting, nailing, screwing, plugging or similar processes. - other footwear : -- other"
640212,64,6402,"other footwear with outer soles and uppers of rubber or plastics. - sports footwear : -- ski-boots, cross-country ski footwear and snowboard boots"
640219,64,6402,other footwear with outer soles and uppers of rubber or plastics. - sports footwear : -- other
640220,64,6402,other footwear with outer soles and uppers of rubber or plastics. - footwear with upper straps or thongs assembled to the sole by means of plugs
640291,64,6402,other footwear with outer soles and uppers of rubber or plastics. - other footwear : -- covering the ankle
640299,64,6402,other footwear with outer soles and uppers of rubber or plastics. - other footwear : -- other
640312,64,6403,"footwear with outer soles of rubber, plastics, leather or composition leather and uppers of leather. - sports footwear : -- ski-boots, cross-country ski footwear and snowboard boots"
640319,64,6403,"footwear with outer soles of rubber, plastics, leather or composition leather and uppers of leather. - sports footwear : -- other"
640320,64,6403,"footwear with outer soles of rubber, plastics, leather or composition leather and uppers of leather. - footwear with outer soles of leather, and uppers which consist of leather straps across the instep and around the big toe"
640340,64,6403,"footwear with outer soles of rubber, plastics, leather or composition leather and uppers of leather. - other footwear, incorporating a protective metal toe-cap"
640351,64,6403,"footwear with outer soles of rubber, plastics, leather or composition leather and uppers of leather. - other footwear with outer soles of leather : -- covering the ankle"
640359,64,6403,"footwear with outer soles of rubber, plastics, leather or composition leather and uppers of leather. - other footwear with outer soles of leather : -- other"
640391,64,6403,"footwear with outer soles of rubber, plastics, leather or composition leather and uppers of leather. - other footwear : -- covering the ankle"
640399,64,6403,"footwear with outer soles of rubber, plastics, leather or composition leather and uppers of leather. - other footwear : -- other"
640411,64,6404,"footwear with outer soles of rubber, plastics, leather or composition leather and uppers of textile materials. - footwear with outer soles of rubber or plastics : -- sports footwear; tennis shoes, basketball shoes, gym shoes, training shoes and the like"
640419,64,6404,"footwear with outer soles of rubber, plastics, leather or composition leather and uppers of textile materials. - footwear with outer soles of rubber or plastics : -- other"
640420,64,6404,"footwear with outer soles of rubber, plastics, leather or composition leather and uppers of textile materials. - footwear with outer soles of leather or composition leather"
640510,64,6405,other footwear. - with uppers of leather or composition leather
640520,64,6405,other footwear. - with uppers of textile materials
640590,64,6405,other footwear. - other
640610,64,6406,"parts of footwear (including uppers whether or not attached to soles other than outer soles); removable in-soles, heel cushions and similar articles; gaiters, leggings and similar articles, and parts thereof. - uppers and parts thereof, other than stiffeners"
640620,64,6406,"parts of footwear (including uppers whether or not attached to soles other than outer soles); removable in-soles, heel cushions and similar articles; gaiters, leggings and similar articles, and parts thereof. - outer soles and heels, of rubber or plastics"
640690,64,6406,"parts of footwear (including uppers whether or not attached to soles other than outer soles); removable in-soles, heel cushions and similar articles; gaiters, leggings and similar articles, and parts thereof. - other"
650100,65,6501,"hat-forms, hat bodies and hoods of felt, neither blocked to shape nor with made brims; plateaux and manchons (including slit manchons), of felt."
650200,65,6502,"hat-shapes, plaited or made by assembling strips of any material, neither blocked to shape, nor with made brims, nor lined, nor trimmed."
650400,65,6504,"hats and other headgear, plaited or made by assembling strips of any material, whether or not lined or trimmed."
650500,65,6505,"hats and other headgear, knitted or crocheted, or made up from lace, felt or other textile fabric, in the piece (but not in strips), whether or not lined or trimmed; hair-nets of any material, whether or not lined or trimmed."
650610,65,6506,"other headgear, whether or not lined or trimmed. - safety headgear"
650691,65,6506,"other headgear, whether or not lined or trimmed. - other : -- of rubber or of plastics"
650699,65,6506,"other headgear, whether or not lined or trimmed. - other : -- of other materials"
650700,65,6507,"head-bands, linings, covers, hat foundations, hat frames, peaks and chinstraps, for headgear."
